country_code,state_province,city,latitude,longitude,maturity_segment,fast_station_share,median_power_kw,has_fast_dc,has_ultra_dc,dc_fast_station_count,dc_ultra_station_count,station_count,port_count
AT,Austria,Gänserndorf,48.340379,16.715657,Emerging EV Infrastructure,0.0,22.0,0,0,0,0,1,2
AT,Austria,Raasdorf,48.24084,16.591911,Emerging EV Infrastructure,0.0,22.0,0,0,0,0,1,4
AT,Bezirk Amstetten,Ardagger,48.178689,14.863834,Emerging EV Infrastructure,0.0,11.0,0,0,0,0,1,1
AT,Bezirk Amstetten,Bezirk Amstetten,48.120352,14.86196,Emerging EV Infrastructure,0.0,11.0,0,0,0,0,1,1
AT,Bezirk Baden,Bad Vöslau,47.960719,16.202443,Emerging EV Infrastructure,0.0,11.0,0,0,0,0,1,1
AT,Bezirk Baden,Gemeinde Traiskirchen,47.983375,16.289499,Emerging EV Infrastructure,0.0,22.0,0,0,0,0,1,2
AT,Bezirk Baden,Oeynhausen,47.983671,16.289616,Emerging EV Infrastructure,0.0,11.0,0,0,0,0,1,1
AT,Bezirk Bludenz,Gemeinde Bürs,47.150747,9.812164,Emerging EV Infrastructure,0.0,11.0,0,0,0,0,1,2
AT,Bezirk Bludenz,Gemeinde Klösterle,47.138647000000006,10.168756,Emerging EV Infrastructure,0.0,22.0,0,0,0,0,2,4
AT,Bezirk Bludenz,Stadt Bludenz,47.155474,9.814735,Emerging EV Infrastructure,0.0,11.0,0,0,0,0,1,2
AT,Bezirk Bludenz,Stuben,47.138338,10.161276,Emerging EV Infrastructure,0.0,22.0,0,0,0,0,1,1
AT,Bezirk Bregenz,Stadt Bregenz,47.501143000000006,9.742853333333334,Emerging EV Infrastructure,0.0,22.0,0,0,0,0,3,6
AT,Bezirk Bruck an der Leitha,Bezirk Bruck an der Leitha,48.035103,16.808527,Developing EV Infrastructure,0.0,44.0,0,0,0,0,1,1
AT,Bezirk Feldkirch,Stadt Feldkirch,47.23482,9.587047,Emerging EV Infrastructure,0.0,11.0,0,0,0,0,1,1
AT,Bezirk Gmunden,Hallstatt,47.552777,13.648743,Emerging EV Infrastructure,0.0,22.0,0,0,0,0,1,1
AT,Bezirk Gänserndorf,Orth an der Donau,48.145554,16.700585,Developing EV Infrastructure,0.0,44.0,0,0,0,0,1,2
AT,Bezirk Hollabrunn,Ebersbrunn,48.514477,15.861341,Emerging EV Infrastructure,0.0,11.0,0,0,0,0,1,4
AT,Bezirk Imst,Gemeinde Längenfeld,47.067105,10.967314,Emerging EV Infrastructure,0.0,22.0,0,0,0,0,1,2
AT,Bezirk Imst,Gemeinde Mieming,47.304722,10.964504,Emerging EV Infrastructure,0.0,22.0,0,0,0,0,1,1
AT,Bezirk Imst,Gemeinde Silz,47.2705085,10.9542485,Emerging EV Infrastructure,0.0,16.5,0,0,0,0,2,4
AT,Bezirk Imst,Gemeinde Stams,47.276085,10.984415,Emerging EV Infrastructure,0.0,11.0,0,0,0,0,1,1
AT,Bezirk Imst,Stadt Imst,47.239424,10.73783,Emerging EV Infrastructure,0.0,11.0,0,0,0,0,1,1
AT,Bezirk Innsbruck-Land,Gemeinde Axams,47.22160466666667,11.289052333333332,Developing EV Infrastructure,0.3333333333333333,22.0,1,0,1,0,3,5
AT,Bezirk Innsbruck-Land,Gemeinde Mils,47.282516,11.5382345,Emerging EV Infrastructure,0.0,22.0,0,0,0,0,2,2
AT,Bezirk Innsbruck-Land,Gemeinde Natters,47.23033,11.375739,Emerging EV Infrastructure,0.0,22.0,0,0,0,0,1,2
AT,Bezirk Innsbruck-Land,Gemeinde Pettnau,47.284508,11.164483,Mature Fast-Charging Hub,1.0,150.0,1,1,1,1,1,1
AT,Bezirk Innsbruck-Land,Gemeinde Schönberg im Stubaital,47.197219,11.397461,Mature Fast-Charging Hub,1.0,150.0,1,1,1,1,1,2
AT,Bezirk Innsbruck-Land,Gemeinde Seefeld in Tirol,47.329539,11.188942,Emerging EV Infrastructure,0.0,11.0,0,0,0,0,1,2
AT,Bezirk Innsbruck-Land,Gemeinde Volders,47.287451,11.566077,Emerging EV Infrastructure,0.0,22.0,0,0,0,0,1,2
AT,Bezirk Innsbruck-Land,Marktgemeinde Matrei am Brenner,47.13108,11.452086,Emerging EV Infrastructure,0.0,22.0,0,0,0,0,1,2
AT,Bezirk Innsbruck-Land,Marktgemeinde Rum,47.277648,11.445927,Emerging EV Infrastructure,0.0,13.2,0,0,0,0,1,1
AT,Bezirk Innsbruck-Land,Marktgemeinde Steinach am Brenner,47.095337,11.465333,Developing EV Infrastructure,0.5,30.5,1,0,1,0,2,4
AT,Bezirk Innsbruck-Land,Marktgemeinde Telfs,47.331544,11.110133,Emerging EV Infrastructure,0.0,22.0,0,0,0,0,1,1
AT,Bezirk Innsbruck-Land,Marktgemeinde Völs,47.257791,11.3229615,Emerging EV Infrastructure,0.0,7.35,0,0,0,0,2,5
